Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       68     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       50     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00       49     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.00     0.00       49     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.00     0.00       49     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.00     0.00       44     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00       40     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00       39     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00       39     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00       39     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00       39     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.00     0.00       39     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00       38     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00       38     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00       38     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00       38     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00       32     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00       32     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.00     0.00       32     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       28     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.00     0.00       26     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00       24     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      0.00     0.00       21     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.00     0.00       21     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.00     0.00       18     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       14     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.00     0.00       14     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::size() const
  0.00      0.00     0.00       14     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.00     0.00       14     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.00     0.00       14     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.00     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
